	Name	AGI ID	TF/Histone	P-value	Corr. p-value	GSE	Genotype	Tissue	Growth cond.	IP	COEX	COEX (Tissue)	COEX (Abiotic)	COEX (Hormone)	COEX (Biotic)	COEX (Light)	Targets	PPI	INDEX
947	HY5, TED 5	AT5G11260	TF	1.79e-19	2.92844e-16	GSE132860	35S:FLASH-HY5-VP16 (Col)	seedling	-	ChIP	1.2726415094339623	1.0533169811320753	1.5598415094339622	0.7098358490566037	0.9595283018867924	1.2363811320754718	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G64590, AT1G64780, AT1G78570, AT1G80340, AT2G27402, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G47070, AT3G51750, AT3G53830, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G15630, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G40950, AT5G58310	AT4G13040, AT4G11140, AT5G21960, AT1G09530, AT4G01120, AT3G56770, AT4G36730, AT4G25560, AT2G37678, AT1G02340, AT4G25560, AT1G02340, AT4G25560, AT3G43810, AT2G32950, AT3G43810, AT3G43810, AT1G79810, AT1G79810, AT2G32950, AT2G32950, AT2G20180, AT1G75540, AT1G75540, AT2G46830, AT2G46830, AT2G18790, AT1G75080, AT1G75080, AT1G75080, AT1G69935, AT1G69935, AT1G69935, AT4G10240, AT4G39070, AT1G08970, AT4G36590, AT1G06040, AT5G19650, AT1G75540, AT2G28710	AT5G11260.TF.GSE132860_2.ChIP
1196	ATTRB1, TRB1	AT1G49950	TF	2.0600000000000003e-19	3.3701600000000003e-16	GSE69431	pTRB1::TRB1-GFP	seedling (14DAG)	-	ChIP	0.6603174603174603	0.7148507936507936	0.8667142857142858	0.6399984126984127	0.7406238095238096	0.6140206349206349	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G20450, AT5G38410, AT5G38430, AT5G40950	AT3G49850, AT2G05210, AT5G67580, AT2G05210, AT1G49950, AT1G49950, AT5G67580, AT3G49850, AT2G05210, AT2G05210, AT5G67580, AT3G49850	AT1G49950.TF.GSE69431_0.ChIP
723	H4ac	H4ac	Histone	2.43e-19	3.97548e-16	GSE117391	Col-0	seedling (6DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G27402, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G28270, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G40950	Not available	H4ac.Histone.GSE117391_5.ChIP
924	H3K4me3	H3K4me3	Histone	2.5699999999999996e-19	4.2045199999999994e-16	GSE101428	Col	aerial tissue	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950, AT5G58310	Not available	H3K4me3.Histone.GSE101428_6.ChIP
1311	H3K27ac	H3K27ac	Histone	4.9e-19	8.016399999999999e-16	GSE80056	hda9 (Col-0)	leaf	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13170, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K27ac.Histone.GSE80056_3.ChIP
581	H3K4me3	H3K4me3	Histone	5.56e-19	9.09616e-16	GSE49090	ldl1-2ldl2 (Col)	leaf (21DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950, AT5G58310	Not available	H3K4me3.Histone.GSE49090_6.ChIP
171	ATHB6, HB6	AT2G22430	TF	8.26e-19	1.351336e-15	GSE80564	YPet-6xHis-3xFLAG tag or 3xFLAG-YPet tagged mutant	seedling (3DAG)	10 uM abscisic acid for 4 hours under dark	ChIP	0.6115254237288137	0.603135593220339	1.0008508474576272	1.0361966101694915	0.8575813559322032	1.0722406779661016	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10740, AT1G15980, AT1G19150, AT1G19490, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G26695, AT2G27420, AT2G30100, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G15630, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17890, AT5G20450, AT5G24660, AT5G40950, AT5G58310	AT5G65310, AT4G26080, AT4G26080, AT2G39760, AT2G46260, AT3G43700, AT1G10585, AT2G30360, AT3G48510, AT5G01820, AT5G48240, AT5G59220, AT5G65430, AT5G38480, AT3G01090, AT3G29160, AT5G21170, AT4G16360, AT2G28060, AT1G09020	AT2G22430.TF.GSE80564_5.ChIP
952	FB, GI	AT1G22770	Protein	9.85e-19	1.61146e-15	GSE129865	pGI gi-2 (Col-0)	seedling	ZT8	ChIP	0.7692424242424242	0.6017439393939394	1.8478999999999999	1.081190909090909	1.052281818181818	1.4178757575757575	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G17780, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G51750, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38410, AT5G38430, AT5G40950, AT5G49330, AT5G58310	AT1G67080, AT1G51950, AT2G23290, AT2G37630, AT2G44950, AT3G16500, AT4G08150, AT4G32570, AT4G37260, AT5G60120	AT1G22770.Protein.GSE129865_1.ChIP
307	H3K4me3	H3K4me3	Histone	1.32e-18	2.15952e-15	GSE122314	ein6-1 (Ler)	seedling	air	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G64590, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26850, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02670, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G30460, AT3G47070, AT3G48420, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G20450, AT5G24660, AT5G38410, AT5G38820, AT5G40950	Not available	H3K4me3.Histone.GSE122314_9.ChIP
888	H3K14ac	H3K14ac	Histone	1.3299999999999999e-18	2.1758799999999998e-15	GSE89768	Col	seedling (10DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G56510, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26695, AT2G26850, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G28270, AT3G48420, AT3G50560, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G10150, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G38350, AT5G40950	Not available	H3K14ac.Histone.GSE89768_0.ChIP
833	H3K4me3	H3K4me3	Histone	1.53e-18	2.50308e-15	GSE60084	jmj14-1 (Col)	seedling (12DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G38820, AT5G40950	Not available	H3K4me3.Histone.GSE60084_5.ChIP
1478	H2AZ	H2AZ	Histone	2.0799999999999997e-18	3.4028799999999994e-15	GSE122314	ino80-1 (Col-0)	seedling	ET (4hr)	ChIP	NA	NA	NA	NA	NA	NA	AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G22420, AT2G26695, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38820, AT5G40950, AT5G49330	Not available	H2AZ.Histone.GSE122314_41.ChIP
113	H2Bub	H2Bub	Histone	2.1499999999999997e-18	3.5173999999999995e-15	GSE112951	Col-0	seedling (5DAG)	light	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30530, AT1G32080, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G56510, AT1G65560, AT1G78570, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G42170, AT2G46830, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02830, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G12830, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G38350, AT5G38820, AT5G40950	Not available	H2Bub.Histone.GSE112951_3.ChIP
1052	ATNRPD1B, DMS5, DRD3, NRPD1B, NRPE1	AT2G40030	Protein	2.34e-18	3.82824e-15	GSE124546	DMS3-ZF fwa (Col)	inflorescence	-	ChIP	0.6455357142857142	0.8046714285714286	0.5740285714285714	0.5808196428571428	0.8475857142857143	0.38813928571428574	AT1G01580, AT1G10370, AT1G10740, AT1G10960, AT1G12570, AT1G19150, AT1G19490, AT1G35560, AT1G48100, AT1G55910, AT1G56510, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT2G17695, AT2G22420, AT2G26695, AT2G26850, AT2G27420, AT2G30100, AT2G39280, AT2G39730, AT2G46830, AT2G46940, AT3G01440, AT3G01550, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17890, AT5G24660, AT5G38820, AT5G49330	AT1G54250, AT2G04630, AT2G27040, AT3G49250, AT2G16390, AT5G04290, AT3G17310, AT5G43990, AT2G36490, AT4G15950	AT2G40030.Protein.GSE124546_22.ChIP
557	H3K4me3	H3K4me3	Histone	2.4299999999999998e-18	3.97548e-15	GSE143831	Col	seedling (8DAG)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G51750, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE143831_1.ChIP
1182	AtCCA1, CCA1	AT2G46830	TF	2.47e-18	4.04092e-15	GSE67903	pCCA1::CCA1-FLAG cca1lhy	seedling (14DAG)	-	ChIP	1.028048780487805	1.0424975609756097	1.6500170731707318	1.0681829268292684	1.7160585365853656	1.1281658536585366	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G35560, AT1G48100, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT2G27420, AT2G37040, AT2G39730, AT2G46830, AT3G01550, AT3G02380, AT3G02830, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G28270, AT3G47070, AT3G50560, AT3G55330, AT4G14540, AT4G14690, AT4G27940, AT4G30610, AT5G08640, AT5G10150, AT5G13170, AT5G13930, AT5G15948, AT5G17170, AT5G38410, AT5G38430, AT5G40950, AT5G49330	AT5G55760, AT5G11260, AT5G11260, AT1G01060, AT2G46830, AT2G46830, AT1G01060, AT1G01060, AT1G01060, AT4G01370, AT1G10210, AT4G11330, AT2G18170, AT3G45640, AT1G59580	AT2G46830.TF.GSE67903_0.ChIP
832	StELF3	StELF3	Protein	2.47e-18	4.04092e-15	GSE137264	StELF3-ox (Col-0)	seedling	22°C, short day	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT3G01060, AT3G01550, AT3G02380, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G24520, AT3G47070, AT3G50560, AT3G53830, AT3G55330, AT4G01080, AT4G12830, AT4G14540, AT4G14690, AT4G15430, AT4G15630, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G38820, AT5G40950, AT5G49330, AT5G58310	Not available	StELF3.Protein.GSE137264_18.ChIP
522	H3K4me3	H3K4me3	Histone	2.92e-18	4.77712e-15	GSE67776	Col-0	fully expanded rosette leaf (29 d)	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27402, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G10185, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G53830, AT3G55330, AT3G62040, AT4G00490, AT4G01080, AT4G12830, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G13930, AT5G15920, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K4me3.Histone.GSE67776_0.ChIP
681	H3K23ac	H3K23ac	Histone	3.500000000000001e-18	5.726000000000001e-15	GSE69426	Col-0	leaf	-	ChIP	NA	NA	NA	NA	NA	NA	AT1G06000, AT1G10370, AT1G10740, AT1G10960, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G29720, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G55910, AT1G55960, AT1G56510, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G04790, AT2G17695, AT2G17780, AT2G22420, AT2G26850, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02830, AT3G03770, AT3G10185, AT3G10420, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G24520, AT3G28270, AT3G30460, AT3G47070, AT3G48420, AT3G50560, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G15430, AT4G27940, AT4G28660, AT4G30610, AT5G08640, AT5G10150, AT5G15920, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G20450, AT5G24660, AT5G38410, AT5G38430, AT5G40950	Not available	H3K23ac.Histone.GSE69426_1.ChIP
1490	H2AZ	H2AZ	Histone	3.5200000000000005e-18	5.758720000000001e-15	GSE122314	Col-0	seedling	air	ChIP	NA	NA	NA	NA	NA	NA	AT1G01520, AT1G01580, AT1G06000, AT1G10370, AT1G10960, AT1G12570, AT1G15980, AT1G19150, AT1G19490, AT1G24147, AT1G30070, AT1G30530, AT1G32080, AT1G35560, AT1G48100, AT1G49630, AT1G50520, AT1G55910, AT1G55960, AT1G56510, AT1G64590, AT1G64780, AT1G65560, AT1G71870, AT1G78570, AT1G80340, AT2G17695, AT2G22420, AT2G26850, AT2G27402, AT2G27420, AT2G30100, AT2G32640, AT2G37040, AT2G39280, AT2G39730, AT2G40020, AT2G42170, AT2G46830, AT2G46940, AT3G01060, AT3G01440, AT3G01550, AT3G02380, AT3G02670, AT3G02830, AT3G03770, AT3G10420, AT3G12580, AT3G13510, AT3G18750, AT3G19450, AT3G21250, AT3G22840, AT3G28270, AT3G30460, AT3G48420, AT3G53830, AT3G55330, AT4G00490, AT4G01080, AT4G14540, AT4G14690, AT4G27940, AT4G28660, AT5G08640, AT5G10150, AT5G13930, AT5G15948, AT5G17170, AT5G17300, AT5G17870, AT5G17890, AT5G24660, AT5G38350, AT5G38820, AT5G40950, AT5G49330, AT5G58310	Not available	H2AZ.Histone.GSE122314_38.ChIP
